Episode 20	Average Score: 0.32	Score: 0.58
Episode 40	Average Score: 0.85	Score: 1.01
Episode 60	Average Score: 1.05	Score: 3.26
Episode 80	Average Score: 1.12	Score: 0.78
Episode 100	Average Score: 1.22	Score: 1.53
Episode 120	Average Score: 1.60	Score: 1.91
Episode 140	Average Score: 1.88	Score: 2.05
Episode 160	Average Score: 2.29	Score: 4.31
Episode 180	Average Score: 2.73	Score: 4.28
Episode 200	Average Score: 3.50	Score: 4.02
Episode 220	Average Score: 4.33	Score: 5.82
Episode 240	Average Score: 5.28	Score: 3.362
Episode 260	Average Score: 6.12	Score: 7.724
Episode 280	Average Score: 7.09	Score: 12.69
Episode 300	Average Score: 8.25	Score: 9.994
Episode 320	Average Score: 9.55	Score: 19.62
Episode 340	Average Score: 10.50	Score: 14.91
Episode 360	Average Score: 11.56	Score: 14.18
Episode 380	Average Score: 13.34	Score: 19.97
Episode 400	Average Score: 13.85	Score: 18.09
Episode 420	Average Score: 14.55	Score: 11.17
Episode 440	Average Score: 15.14	Score: 14.74
Episode 460	Average Score: 16.05	Score: 14.61
Episode 480	Average Score: 16.73	Score: 39.31
Episode 500	Average Score: 17.76	Score: 21.57
Episode 520	Average Score: 19.17	Score: 28.44
Episode 540	Average Score: 20.78	Score: 27.81
Episode 560	Average Score: 22.18	Score: 16.90
Episode 580	Average Score: 23.02	Score: 31.32
Episode 600	Average Score: 24.22	Score: 25.58
Episode 620	Average Score: 24.69	Score: 30.79
Episode 640	Average Score: 25.10	Score: 19.74
Episode 660	Average Score: 25.49	Score: 25.29
Episode 680	Average Score: 25.82	Score: 23.47
Episode 700	Average Score: 26.01	Score: 31.68
Episode 720	Average Score: 26.11	Score: 25.25
Episode 740	Average Score: 26.15	Score: 13.54
Episode 760	Average Score: 25.88	Score: 26.70
Episode 780	Average Score: 25.76	Score: 28.97
Episode 800	Average Score: 25.82	Score: 27.56
Episode 820	Average Score: 25.88	Score: 26.94
Episode 840	Average Score: 26.38	Score: 31.28
Episode 860	Average Score: 27.16	Score: 33.95
Episode 880	Average Score: 27.47	Score: 35.87
Episode 900	Average Score: 28.02	Score: 38.89
Episode 920	Average Score: 28.32	Score: 23.03
Episode 940	Average Score: 28.65	Score: 27.39
Episode 960	Average Score: 28.56	Score: 30.02
Episode 980	Average Score: 29.14	Score: 31.49
Episode 1000	Average Score: 29.38	Score: 35.65
Episode 1020	Average Score: 29.75	Score: 35.55
Episode 1040	Average Score: 29.87	Score: 34.93
Episode 1060	Average Score: 30.43	Score: 32.34
Episode 1080	Average Score: 30.51	Score: 31.97
Episode 1100	Average Score: 30.64	Score: 25.57
Episode 1120	Average Score: 31.09	Score: 29.60
Episode 1140	Average Score: 31.33	Score: 23.62
Episode 1160	Average Score: 31.30	Score: 31.14
Episode 1180	Average Score: 31.62	Score: 31.73
Episode 1200	Average Score: 32.23	Score: 27.27
Episode 1220	Average Score: 32.48	Score: 34.90
Episode 1240	Average Score: 32.78	Score: 28.00
Episode 1260	Average Score: 33.12	Score: 28.89
Episode 1280	Average Score: 32.76	Score: 35.75
Episode 1300	Average Score: 32.37	Score: 36.91
Episode 1320	Average Score: 32.52	Score: 34.13
Episode 1340	Average Score: 32.69	Score: 31.01
Episode 1360	Average Score: 32.88	Score: 33.86
Episode 1380	Average Score: 33.49	Score: 34.85
